,CNY
2022-09-27,7.1392
2022-09-26,7.1273
2022-09-23,7.0766
2022-09-22,7.0479
2022-09-21,7.0172
2022-09-20,6.9964
2022-09-19,6.9788
2022-09-16,6.9827
2022-09-15,6.9563
2022-09-14,6.9235
2022-09-13,6.9110
2022-09-12,6.9250
2022-09-09,6.9087
2022-09-08,6.9472
2022-09-07,6.9529
2022-09-06,6.9290
2022-09-05,6.8989
2022-09-02,6.8908
2022-09-01,6.8889
2022-08-31,6.8796
2022-08-30,6.8925
2022-08-29,6.8707
2022-08-26,6.8460
2022-08-25,6.8393
2022-08-24,6.8336
2022-08-23,6.8321
2022-08-22,6.8156
2022-08-19,6.7846
2022-08-18,6.7757
2022-08-17,6.7619
2022-08-16,6.7720
2022-08-15,6.7415
2022-08-12,6.7257
2022-08-11,6.7227
2022-08-10,6.7223
2022-08-09,6.7455
2022-08-08,6.7491
2022-08-05,6.7317
2022-08-04,6.7405
2022-08-03,6.7430
2022-08-02,6.7484
2022-08-01,6.7419
2022-07-29,6.7275
2022-07-28,6.7346
2022-07-27,6.7415
2022-07-26,6.7353
2022-07-25,6.7394
2022-07-22,6.7410
2022-07-21,6.7508
2022-07-20,6.7354
2022-07-19,6.7371
2022-07-18,6.7310
2022-07-15,6.7394
2022-07-14,6.7167
2022-07-13,6.7087
2022-07-12,6.7148
2022-07-11,6.6942
2022-07-08,6.6923
2022-07-07,6.6894
2022-07-06,6.6968
2022-07-05,6.6836
2022-07-04,6.6812
2022-07-01,6.6937
2022-06-30,6.6844
2022-06-29,6.6811
2022-06-28,6.6743
2022-06-27,6.6764
2022-06-24,6.6798
2022-06-23,6.6888
2022-06-22,6.6880
2022-06-21,6.6710
2022-06-20,6.6727
2022-06-17,6.6897
2022-06-16,6.6912
2022-06-15,6.7042
2022-06-14,6.7126
2022-06-13,6.7076
2022-06-10,6.6780
2022-06-09,6.6640
2022-06-08,6.6618
2022-06-07,6.6528
2022-06-06,6.6322
2022-06-03,6.6592
2022-06-02,6.6591
2022-06-01,6.6647
2022-05-31,6.6447
2022-05-30,6.6452
2022-05-27,6.6878
2022-05-26,6.6906
2022-05-25,6.6527
2022-05-24,6.6492
2022-05-23,6.6456
2022-05-20,6.6658
2022-05-19,6.7114
2022-05-18,6.7320
2022-05-17,6.7160
2022-05-16,6.7809
2022-05-13,6.7693
2022-05-12,6.7188
2022-05-11,6.7095
2022-05-10,6.6904
2022-05-09,6.6655
2022-05-06,6.6545
2022-05-05,6.5950
2022-05-04,6.6073
2022-05-03,6.6069
2022-05-02,6.6069
2022-04-29,6.5806
2022-04-28,6.5595
2022-04-27,6.5410
2022-04-26,6.5218
2022-04-25,6.5002
2022-04-22,6.4472
2022-04-21,6.4081
2022-04-20,6.3920
2022-04-19,6.3660
2022-04-18,6.3634
2022-04-15,6.3679
2022-04-14,6.3563
2022-04-13,6.3564
2022-04-12,6.3571
2022-04-11,6.3599
2022-04-08,6.3493
2022-04-07,6.3508
2022-04-06,6.3526
2022-04-05,6.3620
2022-04-04,6.3620
2022-04-01,6.3389
2022-03-31,6.3332
2022-03-30,6.3402
2022-03-29,6.3542
2022-03-28,6.3591
2022-03-25,6.3514
2022-03-24,6.3596
2022-03-23,6.3585
2022-03-22,6.3499
2022-03-21,6.3434
2022-03-18,6.3455
2022-03-17,6.3361
2022-03-16,6.3386
2022-03-15,6.3643
2022-03-14,6.3387
2022-03-11,6.3112
2022-03-10,6.3084
2022-03-09,6.3047
2022-03-08,6.3038
2022-03-07,6.3091
2022-03-04,6.3057
2022-03-03,6.3078
2022-03-02,6.3023
2022-03-01,6.3014
2022-02-28,6.2992
2022-02-25,6.3039
2022-02-24,6.3052
2022-02-23,6.3039
2022-02-22,6.3140
2022-02-21,6.3210
2022-02-18,6.3161
2022-02-17,6.3211
2022-02-16,6.3332
2022-02-15,6.3286
2022-02-14,6.3454
2022-02-11,6.3445
2022-02-10,6.3441
2022-02-09,6.3510
2022-02-08,6.3488
2022-02-07,6.3317
2022-02-04,6.3595
2022-02-03,6.3595
2022-02-02,6.3595
2022-02-01,6.3595
2022-01-31,6.3595
2022-01-28,6.3469
2022-01-27,6.3195
2022-01-26,6.3109
2022-01-25,6.3169
2022-01-24,6.3186
2022-01-21,6.3283
2022-01-20,6.3340
2022-01-19,6.3345
2022-01-18,6.3354
2022-01-17,6.3373
2022-01-14,6.3339
2022-01-13,6.3474
2022-01-12,6.3552
2022-01-11,6.3608
2022-01-10,6.3624
2022-01-07,6.3674
2022-01-06,6.3540
2022-01-05,6.3521
2022-01-04,6.3531
2022-01-03,6.3548
2021-12-31,6.3397
2021-12-30,6.3587
2021-12-29,6.3584
2021-12-28,6.3608
2021-12-27,6.3613
2021-12-24,6.3597
2021-12-23,6.3601
2021-12-22,6.3599
2021-12-21,6.3616
2021-12-20,6.3664
2021-12-17,6.3586
2021-12-16,6.3563
2021-12-15,6.3542
2021-12-14,6.3529
2021-12-13,6.3537
2021-12-10,6.3573
2021-12-09,6.3337
2021-12-08,6.3382
2021-12-07,6.3557
2021-12-06,6.3618
2021-12-03,6.3608
2021-12-02,6.3593
2021-12-01,6.3565
2021-11-30,6.3608
2021-11-29,6.3758
2021-11-26,6.3789
2021-11-25,6.3767
2021-11-24,6.3769
2021-11-23,6.3789
2021-11-22,6.3698
2021-11-19,6.3743
2021-11-18,6.3744
2021-11-17,6.3658
2021-11-16,6.3660
2021-11-15,6.3777
2021-11-12,6.3713
2021-11-11,6.3878
2021-11-10,6.3812
2021-11-09,6.3796
2021-11-08,6.3827
2021-11-05,6.3908
2021-11-04,6.3907
2021-11-03,6.3856
2021-11-02,6.3885
2021-11-01,6.3868
2021-10-29,6.3817
2021-10-28,6.3871
2021-10-27,6.3747
2021-10-26,6.3709
2021-10-25,6.3731
2021-10-22,6.3750
2021-10-21,6.3864
2021-10-20,6.3811
2021-10-19,6.3717
2021-10-18,6.4205
2021-10-15,6.4202
2021-10-14,6.4266
2021-10-13,6.4261
2021-10-12,6.4393
2021-10-11,6.4252
2021-10-08,6.4307
2021-10-07,6.4452
2021-10-06,6.4452
2021-10-05,6.4452
2021-10-04,6.4452
2021-10-01,6.4453
2021-09-30,6.4367
2021-09-29,6.4541
2021-09-28,6.4492
2021-09-27,6.4494
2021-09-24,6.4559
2021-09-23,6.4435
2021-09-22,6.4558
2021-09-21,6.4650
2021-09-20,6.4640
2021-09-17,6.4406
2021-09-16,6.4297
2021-09-15,6.4275
2021-09-14,6.4369
2021-09-13,6.4433
2021-09-10,6.4271
2021-09-09,6.4450
2021-09-08,6.4511
2021-09-07,6.4456
2021-09-06,6.4474
2021-09-03,6.4327
2021-09-02,6.4462
2021-09-01,6.4544
2021-08-31,6.4508
2021-08-30,6.4577
2021-08-27,6.4694
2021-08-26,6.4725
2021-08-25,6.4675
2021-08-24,6.4686
2021-08-23,6.4715
2021-08-20,6.4894
2021-08-19,6.4828
2021-08-18,6.4710
2021-08-17,6.4675
2021-08-16,6.4727
2021-08-13,6.4666
2021-08-12,6.4657
2021-08-11,6.4709
2021-08-10,6.4692
2021-08-09,6.4678
2021-08-06,6.4603
2021-08-05,6.4520
2021-08-04,6.4498
2021-08-03,6.4534
2021-08-02,6.4510
2021-07-30,6.4432
2021-07-29,6.4464
2021-07-28,6.4874
2021-07-27,6.4733
2021-07-26,6.4729
2021-07-23,6.4616
2021-07-22,6.4557
2021-07-21,6.4611
2021-07-20,6.4727
2021-07-19,6.4766
2021-07-16,6.4564
2021-07-15,6.4507
2021-07-14,6.4485
2021-07-13,6.4532
2021-07-12,6.4639
2021-07-09,6.4695
2021-07-08,6.4685
2021-07-07,6.4554
2021-07-06,6.4527
2021-07-05,6.4545
2021-07-02,6.4635
2021-07-01,6.4544
2021-06-30,6.4448
2021-06-29,6.4504
2021-06-28,6.4456
2021-06-25,6.4502
2021-06-24,6.4561
2021-06-23,6.4630
2021-06-22,6.4546
2021-06-21,6.4471
2021-06-18,6.4292
2021-06-17,6.3962
2021-06-16,6.3926
2021-06-15,6.3931
2021-06-14,6.3972
2021-06-11,6.3765
2021-06-10,6.3734
2021-06-09,6.3752
2021-06-08,6.3829
2021-06-07,6.3854
2021-06-04,6.3923
2021-06-03,6.3758
2021-06-02,6.3727
2021-06-01,6.3615
2021-05-31,6.3518
2021-05-28,6.3591
2021-05-27,6.3720
2021-05-26,6.3859
2021-05-25,6.3971
2021-05-24,6.4140
2021-05-21,6.4227
2021-05-20,6.4315
2021-05-19,6.4159
2021-05-18,6.4127
2021-05-17,6.4275
2021-05-14,6.4203
2021-05-13,6.4437
2021-05-12,6.4267
2021-05-11,6.4149
2021-05-10,6.4037
2021-05-07,6.4251
2021-05-06,6.4538
2021-05-05,6.4721
2021-05-04,6.4728
2021-05-03,6.4725
2021-04-30,6.4572
2021-04-29,6.4579
2021-04-28,6.4689
2021-04-27,6.4731
2021-04-26,6.4792
2021-04-23,6.4809
2021-04-22,6.4774
2021-04-21,6.4844
2021-04-20,6.4845
2021-04-19,6.4978
2021-04-16,6.5103
2021-04-15,6.5176
2021-04-14,6.5196
2021-04-13,6.5375
2021-04-12,6.5344
2021-04-09,6.5436
2021-04-08,6.5406
2021-04-07,6.5330
2021-04-06,6.5385
2021-04-05,6.5657
2021-04-02,6.5587
2021-04-01,6.5517
2021-03-31,6.5435
2021-03-30,6.5558
2021-03-29,6.5404
2021-03-26,6.5301
2021-03-25,6.5147
2021-03-24,6.5118
2021-03-23,6.4990
2021-03-22,6.4990
2021-03-19,6.4990
2021-03-18,6.4829
2021-03-17,6.4895
2021-03-16,6.4898
2021-03-15,6.4889
2021-03-12,6.4716
2021-03-11,6.4836
2021-03-10,6.4946
2021-03-09,6.5034
2021-03-08,6.4924
2021-03-05,6.4638
2021-03-04,6.4581
2021-03-03,6.4535
2021-03-02,6.4609
2021-03-01,6.4535
2021-02-26,6.4536
2021-02-25,6.4423
2021-02-24,6.4443
2021-02-23,6.4515
2021-02-22,6.4512
2021-02-19,6.4467
2021-02-18,6.4409
2021-02-17,6.4569
2021-02-16,6.4564
2021-02-15,6.4570
2021-02-12,6.4569
2021-02-11,6.4569
2021-02-10,6.4278
2021-02-09,6.4318
2021-02-08,6.4403
2021-02-05,6.4602
2021-02-04,6.4567
2021-02-03,6.4490
2021-02-02,6.4435
2021-02-01,6.4268
2021-01-29,6.4178
2021-01-28,6.4483
2021-01-27,6.4512
2021-01-26,6.4552
2021-01-25,6.4726
2021-01-22,6.4599
2021-01-21,6.4509
2021-01-20,6.4565
2021-01-19,6.4694
2021-01-18,6.4772
2021-01-15,6.4548
2021-01-14,6.4599
2021-01-13,6.4513
2021-01-12,6.4541
2021-01-11,6.4675
2021-01-08,6.4538
2021-01-07,6.4465
2021-01-06,6.4437
2021-01-05,6.4294
2021-01-04,6.4578
2021-01-01,6.5315
2020-12-31,6.5056
2020-12-30,6.5145
2020-12-29,6.5185
2020-12-28,6.5270
2020-12-25,6.5196
2020-12-24,6.5196
2020-12-23,6.5289
2020-12-22,6.5326
2020-12-21,6.5367
2020-12-18,6.5231
2020-12-17,6.5195
2020-12-16,6.5194
2020-12-15,6.5355
2020-12-14,6.5323
2020-12-11,6.5275
2020-12-10,6.5347
2020-12-09,6.5144
2020-12-08,6.5164
2020-12-07,6.5285
2020-12-04,6.5223
2020-12-03,6.5418
2020-12-02,6.5441
2020-12-01,6.5594
2020-11-30,6.5645
2020-11-27,6.5685
2020-11-26,6.5550
2020-11-25,6.5658
2020-11-24,6.5713
2020-11-23,6.5546
2020-11-20,6.5597
2020-11-19,6.5511
2020-11-18,6.5311
2020-11-17,6.5470
2020-11-16,6.5605
2020-11-13,6.5971
2020-11-12,6.6063
2020-11-11,6.5838
2020-11-10,6.5966
2020-11-09,6.5719
2020-11-06,6.5993
2020-11-05,6.6025
2020-11-04,6.6520
2020-11-03,6.6717
2020-11-02,6.6794
2020-10-30,6.6710
2020-10-29,6.6966
2020-10-28,6.7040
2020-10-27,6.6963
2020-10-26,6.6782
2020-10-23,6.6602
2020-10-22,6.6470
2020-10-21,6.6376
2020-10-20,6.6662
2020-10-19,6.6744
2020-10-16,6.6914
2020-10-15,6.7105
2020-10-14,6.7059
2020-10-13,6.7261
2020-10-12,6.6936
2020-10-09,6.6923
2020-10-08,6.7892
2020-10-07,6.7893
2020-10-06,6.7895
2020-10-05,6.7897
2020-10-02,6.7893
2020-10-01,6.7893
2020-09-30,6.7890
2020-09-29,6.8076
2020-09-28,6.8014
2020-09-25,6.8091
2020-09-24,6.8087
2020-09-23,6.7771
2020-09-22,6.7634
2020-09-21,6.7561
2020-09-18,6.7418
2020-09-17,6.7512
2020-09-16,6.7469
2020-09-15,6.7660
2020-09-14,6.8079
2020-09-11,6.8267
2020-09-10,6.8198
2020-09-09,6.8269
2020-09-08,6.8240
2020-09-07,6.8212
2020-09-04,6.8292
2020-09-03,6.8240
2020-09-02,6.8195
2020-09-01,6.8100
2020-08-31,6.8345
2020-08-28,6.8565
2020-08-27,6.8695
2020-08-26,6.8850
2020-08-25,6.8998
2020-08-24,6.9025
2020-08-21,6.8992
2020-08-20,6.9099
2020-08-19,6.8981
2020-08-18,6.9105
2020-08-17,6.9229
2020-08-14,6.9400
2020-08-13,6.9273
2020-08-12,6.9310
2020-08-11,6.9342
2020-08-10,6.9571
2020-08-07,6.9474
2020-08-06,6.9327
2020-08-05,6.9351
2020-08-04,6.9715
2020-08-03,6.9644
2020-07-31,6.9657
2020-07-30,6.9918
2020-07-29,6.9880
2020-07-28,6.9812
2020-07-27,6.9879
2020-07-24,6.9977
2020-07-23,6.9847
2020-07-22,6.9622
2020-07-21,6.9746
2020-07-20,6.9775
2020-07-17,6.9882
2020-07-16,6.9808
2020-07-15,6.9825
2020-07-14,6.9939
2020-07-13,6.9887
2020-07-10,6.9930
2020-07-09,6.9762
2020-07-08,6.9971
2020-07-07,7.0030
2020-07-06,7.0124
2020-07-03,7.0563
2020-07-02,7.0576
2020-07-01,7.0517
2020-06-30,7.0580
2020-06-29,7.0658
2020-06-26,7.0772
2020-06-25,7.0771
2020-06-24,7.0511
2020-06-23,7.0572
2020-06-22,7.0657
2020-06-19,7.0641
2020-06-18,7.0687
2020-06-17,7.0836
2020-06-16,7.0670
2020-06-15,7.0823
2020-06-12,7.0620
2020-06-11,7.0483
2020-06-10,7.0483
2020-06-09,7.0657
2020-06-08,7.0600
2020-06-05,7.0724
2020-06-04,7.1003
2020-06-03,7.0942
2020-06-02,7.0981
2020-06-01,7.1099
2020-05-29,7.1315
2020-05-28,7.1433
2020-05-27,7.1340
2020-05-26,7.1255
2020-05-25,7.1265
2020-05-22,7.1083
2020-05-21,7.0864
2020-05-20,7.0835
2020-05-19,7.0958
2020-05-18,7.1011
2020-05-15,7.0884
2020-05-14,7.0875
2020-05-13,7.0798
2020-05-12,7.0787
2020-05-11,7.0716
2020-05-08,7.0616
2020-05-07,7.0792
2020-05-06,7.0614
2020-05-05,7.0612
2020-05-04,7.0522
2020-05-01,7.0613
2020-04-30,7.0412
2020-04-29,7.0639
2020-04-28,7.0740
2020-04-27,7.0721
2020-04-24,7.0652
2020-04-23,7.0567
2020-04-22,7.0707
2020-04-21,7.0705
2020-04-20,7.0636
2020-04-17,7.0622
2020-04-16,7.0632
2020-04-15,7.0428
2020-04-14,7.0401
2020-04-13,7.0351
2020-04-10,7.0288
2020-04-09,7.0310
2020-04-08,7.0448
2020-04-07,7.0358
2020-04-06,7.0912
2020-04-03,7.0789
2020-04-02,7.0829
2020-04-01,7.0802
2020-03-31,7.0725
2020-03-30,7.0824
2020-03-27,7.0540
2020-03-26,7.0701
2020-03-25,7.0472
2020-03-24,7.0558
2020-03-23,7.0794
2020-03-20,7.0518
2020-03-19,7.0453
2020-03-18,7.0025
2020-03-17,6.9819
2020-03-16,6.9918
2020-03-13,6.9689
2020-03-12,6.9594
2020-03-11,6.9432
2020-03-10,6.9275
2020-03-09,6.9216
2020-03-06,6.9180
2020-03-05,6.9256
2020-03-04,6.9133
2020-03-03,6.9601
2020-03-02,6.9516
2020-02-28,6.9738
2020-02-27,6.9998
2020-02-26,7.0094
2020-02-25,7.0033
2020-02-24,7.0211
2020-02-21,7.0191
2020-02-20,6.9972
2020-02-19,6.9835
2020-02-18,6.9791
2020-02-17,6.9703
2020-02-14,6.9720
2020-02-13,6.9686
2020-02-12,6.9583
2020-02-11,6.9616
2020-02-10,6.9736
2020-02-07,6.9698
2020-02-06,6.9521
2020-02-05,6.9691
2020-02-04,6.9828
2020-02-03,6.9356
2020-01-31,6.9357
2020-01-30,6.9357
2020-01-29,6.9357
2020-01-28,6.9357
2020-01-27,6.9352
2020-01-24,6.9356
2020-01-23,6.9057
2020-01-22,6.8880
2020-01-21,6.8658
2020-01-20,6.8398
2020-01-17,6.8526
2020-01-16,6.8701
2020-01-15,6.8828
2020-01-14,6.8646
2020-01-13,6.8837
2020-01-10,6.9093
2020-01-09,6.9451
2020-01-08,6.9315
2020-01-07,6.9308
2020-01-06,6.9645
2020-01-03,6.9591
2020-01-02,6.9598
2020-01-01,6.9622
2019-12-31,6.9575
2019-12-30,6.9768
2019-12-27,6.9886
2019-12-26,6.9854
2019-12-25,6.9815
2019-12-24,6.9967
2019-12-23,7.0014
2019-12-20,6.9957
2019-12-19,6.9906
2019-12-18,6.9923
2019-12-17,6.9816
2019-12-16,6.9717
2019-12-13,6.9601
2019-12-12,7.0194
2019-12-11,7.0284
2019-12-10,7.0283
2019-12-09,7.0299
2019-12-06,7.0216
2019-12-05,7.0387
2019-12-04,7.0452
2019-12-03,7.0350
2019-12-02,7.0259
2019-11-29,7.0181
2019-11-28,7.0179
2019-11-27,7.0143
2019-11-26,7.0226
2019-11-25,7.0236
2019-11-22,7.0244
2019-11-21,7.0183
2019-11-20,7.0196
2019-11-19,7.0156
2019-11-18,7.0022
2019-11-15,6.9933
2019-11-14,7.0118
2019-11-13,7.0068
2019-11-12,6.9938
2019-11-11,6.9861
2019-11-07,6.9630
2019-11-06,6.9826
2019-11-05,6.9801
2019-11-04,7.0160
2019-11-01,7.0289
2019-10-31,7.0295
2019-10-30,7.0449
2019-10-29,7.0472
2019-10-28,7.0552
2019-10-25,7.0583
2019-10-24,7.0524
2019-10-23,7.0605
2019-10-22,7.0658
2019-10-21,7.0631
2019-10-18,7.0633
2019-10-17,7.0645
2019-10-16,7.0718
2019-10-15,7.0584
2019-10-14,7.0498
2019-10-11,7.0837
2019-10-10,7.0935
2019-10-09,7.1138
2019-10-08,7.1148
2019-10-07,7.1474
2019-10-04,7.1474
2019-10-03,7.1384
2019-10-02,7.1384
2019-10-01,7.1384
2019-09-30,7.1128
2019-09-27,7.1115
2019-09-26,7.1134
2019-09-25,7.1036
2019-09-24,7.0945
2019-09-23,7.0816
2019-09-20,7.0730
2019-09-19,7.0760
2019-09-18,7.0763
2019-09-17,7.0663
2019-09-16,7.0558
2019-09-13,7.0784
2019-09-12,7.0608
2019-09-11,7.0996
2019-09-10,7.0980
2019-09-09,7.1057
2019-09-06,7.1053
2019-09-05,7.1154
2019-09-04,7.1375
2019-09-03,7.1620
2019-09-02,7.1500
2019-08-30,7.1373
2019-08-29,7.1319
2019-08-28,7.1475
2019-08-27,7.1447
2019-08-26,7.0950
2019-08-23,7.0743
2019-08-22,7.0622
2019-08-21,7.0441
2019-08-20,7.0408
2019-08-19,7.0363
2019-08-16,7.0240
2019-08-15,7.0145
2019-08-14,7.0045
2019-08-13,7.0335
2019-08-12,7.0479
2019-08-09,7.0388
2019-08-08,7.0277
2019-08-07,7.0255
2019-08-06,7.0095
2019-08-05,6.9393
2019-08-02,6.8977
2019-08-01,6.8834
2019-07-31,6.8712
2019-07-30,6.8702
2019-07-29,6.8692
2019-07-26,6.8626
2019-07-25,6.8625
2019-07-24,6.8631
2019-07-23,6.8688
2019-07-22,6.8681
2019-07-19,6.8639
2019-07-18,6.8662
2019-07-17,6.8663
2019-07-16,6.8640
2019-07-15,6.8643
2019-07-12,6.8602
2019-07-11,6.8555
2019-07-10,6.8717
2019-07-09,6.8719
2019-07-08,6.8696
2019-07-05,6.8616
2019-07-04,6.8607
2019-07-03,6.8629
2019-07-02,6.8449
2019-07-01,6.8316
2019-06-28,6.8551
2019-06-27,6.8694
2019-06-26,6.8629
2019-06-25,6.8617
2019-06-24,6.8665
2019-06-21,6.8271
2019-06-20,6.8400
2019-06-19,6.8935
2019-06-18,6.9023
2019-06-17,6.9146
2019-06-14,6.9129
2019-06-13,6.9083
2019-06-12,6.9014
2019-06-11,6.9019
2019-06-10,6.9087
2019-06-07,6.9087
2019-06-06,6.8991
2019-06-05,6.8954
2019-06-04,6.8938
2019-06-03,6.8950
2019-05-31,6.8919
2019-05-30,6.8919
2019-05-29,6.9041
2019-05-28,6.8957
2019-05-27,6.8814
2019-05-24,6.8881
2019-05-23,6.9030
2019-05-21,6.8926
2019-05-20,6.9027
2019-05-17,6.8738
2019-05-16,6.8662
2019-05-15,6.8620
2019-05-14,6.8601
2019-05-13,6.8141
2019-05-10,6.7953
2019-05-09,6.7819
2019-05-08,6.7583
2019-05-07,6.7555
2019-05-06,6.7336
2019-05-03,6.7336
2019-05-02,6.7336
2019-05-01,6.7338
2019-04-30,6.7242
2019-04-29,6.7197
2019-04-26,6.7194
2019-04-25,6.7119
2019-04-24,6.7068
2019-04-23,6.7082
2019-04-22,6.7030
2019-04-19,6.6991
2019-04-18,6.6782
2019-04-17,6.6771
2019-04-16,6.6972
2019-04-15,6.6955
2019-04-12,6.6992
2019-04-11,6.7040
2019-04-10,6.7017
2019-04-09,6.7011
2019-04-08,6.7056
2019-04-05,6.7164
2019-04-04,6.7014
2019-04-03,6.6973
2019-04-02,6.7015
2019-04-01,6.7012
2019-03-29,6.6977
2019-03-28,6.7172
2019-03-27,6.7050
2019-03-26,6.6994
2019-03-25,6.7000
2019-03-22,6.6893
2019-03-21,6.6648
2019-03-20,6.6846
2019-03-19,6.7028
2019-03-18,6.7011
2019-03-15,6.7035
2019-03-14,6.6971
2019-03-13,6.6969
2019-03-12,6.6980
2019-03-11,6.7116
2019-03-08,6.7100
2019-03-07,6.6968
2019-03-06,6.6976
2019-03-05,6.6884
2019-03-04,6.6835
2019-03-01,6.6879
2019-02-28,6.6714
2019-02-27,6.6688
2019-02-26,6.6794
2019-02-25,6.6767
2019-02-22,6.7038
2019-02-21,6.6910
2019-02-20,6.7096
2019-02-19,6.7519
2019-02-18,6.7515
2019-02-15,6.7620
2019-02-14,6.7538
2019-02-13,6.7495
2019-02-12,6.7603
2019-02-11,6.7435
2019-02-08,6.7426
2019-02-07,6.7348
2019-02-06,6.7348
2019-02-05,6.7348
2019-02-04,6.7348
2019-02-01,6.6908
2019-01-31,6.6868
2019-01-30,6.7032
2019-01-29,6.7238
2019-01-28,6.7277
2019-01-25,6.7466
2019-01-24,6.7682
2019-01-23,6.7753
2019-01-22,6.7920
2019-01-21,6.7778
2019-01-18,6.7600
2019-01-17,6.7365
2019-01-16,6.7450
2019-01-15,6.7366
2019-01-14,6.7523
2019-01-11,6.7313
