,ANGL.TA
2019-09-08,"4,043.00"
2019-09-05,"4,102.00"
2019-09-04,"4,044.00"
2019-09-03,"4,050.00"
2019-09-02,"4,050.00"
2019-09-01,"4,121.00"
2019-08-29,"4,150.00"
2019-08-28,"4,190.00"
2019-08-27,"4,185.00"
2019-08-26,"4,045.00"
2019-08-25,"4,126.00"
2019-08-22,"4,250.00"
2019-08-21,"4,250.00"
2019-08-20,"4,190.00"
2019-08-19,"4,044.00"
2019-08-18,"4,036.00"
2019-08-15,"4,029.00"
2019-08-14,"3,966.00"
2019-08-13,"3,880.00"
2019-08-12,"3,841.00"
2019-08-11,"4,220.00"
2019-08-08,"4,242.00"
2019-08-07,"4,163.00"
2019-08-06,"4,093.00"
2019-08-05,"4,118.00"
2019-08-04,"4,091.00"
2019-08-01,"4,061.00"
2019-07-31,"4,083.00"
2019-07-30,"4,078.00"
2019-07-29,"4,045.00"
2019-07-28,"4,045.00"
2019-07-25,"4,000.00"
2019-07-24,"4,176.00"
2019-07-23,"4,133.00"
2019-07-22,"4,056.00"
2019-07-21,"4,053.00"
2019-07-18,"3,990.00"
2019-07-17,"3,982.00"
2019-07-16,"3,970.00"
2019-07-15,"3,857.00"
2019-07-14,"3,748.00"
2019-07-11,"3,501.00"
2019-07-10,"3,777.00"
2019-07-09,"3,700.00"
2019-07-08,"3,620.00"
2019-07-07,"3,793.00"
2019-07-04,"3,692.00"
2019-07-03,"3,595.00"
2019-07-02,"3,552.00"
2019-07-01,"3,458.00"
2019-06-30,"3,380.00"
2019-06-27,"3,325.00"
2019-06-26,"3,298.00"
2019-06-25,"3,299.00"
2019-06-24,"3,297.00"
2019-06-23,"3,399.00"
2019-06-20,"3,303.00"
2019-06-19,"3,328.00"
2019-06-18,"3,301.00"
2019-06-17,"3,295.00"
2019-06-16,"3,239.00"
2019-06-13,"3,200.00"
2019-06-12,"3,185.00"
2019-06-11,"3,178.00"
2019-06-10,"3,167.00"
2019-06-09,"3,265.00"
2019-06-06,"3,207.00"
2019-06-05,"3,367.00"
2019-06-04,"3,200.00"
2019-06-03,"3,329.00"
2019-06-02,"3,234.00"
2019-05-30,"3,399.00"
2019-05-29,"3,286.00"
2019-05-28,"3,161.00"
2019-05-27,"2,933.00"
2019-05-26,"2,847.00"
2019-05-23,"2,843.00"
2019-05-22,"2,719.00"
2019-05-21,"2,718.00"
2019-05-20,"2,709.00"
2019-05-19,"2,736.00"
2019-05-16,"2,763.00"
2019-05-15,"2,691.00"
2019-05-14,"2,679.00"
2019-05-13,"2,701.00"
2019-05-12,"2,800.00"
2019-05-09,"2,800.00"
2019-05-08,"2,800.00"
2019-05-07,"2,800.00"
2019-05-06,"2,770.00"
2019-05-05,"2,879.00"
2019-05-02,"2,850.00"
2019-05-01,"2,890.00"
2019-04-30,"2,851.00"
2019-04-29,"2,995.00"
2019-04-28,"2,971.00"
2019-04-25,"2,957.00"
2019-04-24,"2,957.00"
2019-04-23,"2,957.00"
2019-04-22,"2,900.00"
2019-04-21,"2,984.00"
2019-04-18,"2,984.00"
2019-04-17,"2,984.00"
2019-04-16,"2,960.00"
2019-04-15,"3,000.00"
2019-04-14,"3,109.00"
2019-04-11,"3,000.00"
2019-04-10,"3,199.00"
2019-04-09,"3,200.00"
2019-04-08,"3,200.00"
2019-04-07,"3,160.00"
2019-04-04,"3,120.00"
2019-04-03,"2,924.00"
2019-04-02,"2,880.00"
2019-04-01,"2,800.00"
2019-03-31,"2,736.00"
2019-03-28,"2,725.00"
2019-03-27,"2,725.00"
2019-03-26,"2,725.00"
2019-03-25,"2,725.00"
2019-03-24,"2,714.00"
2019-03-21,"2,792.00"
2019-03-20,"2,806.00"
2019-03-19,"2,812.00"
2019-03-18,"2,809.00"
2019-03-17,"2,779.00"
2019-03-14,"2,779.00"
2019-03-13,"2,779.00"
2019-03-12,"2,779.00"
2019-03-11,"2,716.00"
2019-03-10,"2,700.00"
2019-03-07,"2,701.00"
2019-03-06,"2,909.00"
2019-03-05,"2,943.00"
2019-03-04,"2,942.00"
2019-03-03,"2,952.00"
2019-02-28,"2,939.00"
2019-02-27,"2,965.00"
2019-02-26,"2,961.00"
2019-02-25,"2,998.00"
2019-02-24,"2,926.00"
2019-02-21,"2,818.00"
2019-02-20,"2,751.00"
2019-02-19,"2,773.00"
2019-02-18,"3,056.00"
2019-02-17,"3,033.00"
2019-02-14,"3,110.00"
2019-02-13,"3,026.00"
2019-02-12,"3,181.00"
2019-02-11,"3,208.00"
2019-02-10,"3,345.00"
2019-02-07,"3,052.00"
2019-02-06,"2,993.00"
2019-02-05,"2,933.00"
2019-02-04,"2,931.00"
2019-02-03,"2,906.00"
2019-01-31,"2,940.00"
2019-01-30,"3,000.00"
2019-01-29,"3,000.00"
2019-01-28,"3,000.00"
2019-01-27,"2,995.00"
2019-01-24,"3,000.00"
2019-01-23,"2,999.00"
2019-01-22,"3,000.00"
2019-01-21,"3,000.00"
2019-01-20,"2,992.00"
2019-01-17,"2,950.00"
2019-01-16,"2,999.00"
2019-01-15,"2,986.00"
2019-01-14,"2,907.00"
2019-01-13,"2,908.00"
2019-01-10,"2,908.00"
2019-01-09,"2,904.00"
2019-01-08,"2,858.00"
2019-01-07,"2,858.00"
2019-01-06,"2,857.00"
2019-01-03,"2,826.00"
2019-01-02,"2,899.00"
2019-01-01,"3,456.00"
2018-12-31,"3,456.00"
2018-12-30,"3,302.00"
2018-12-27,"3,465.00"
2018-12-26,"3,442.00"
2018-12-25,"3,442.00"
2018-12-24,"3,442.00"
2018-12-23,"3,382.00"
2018-12-20,"3,669.00"
2018-12-19,"3,625.00"
2018-12-18,"3,729.00"
2018-12-17,"3,638.00"
2018-12-16,"3,741.00"
2018-12-13,"3,721.00"
2018-12-12,"3,658.00"
2018-12-11,"3,709.00"
2018-12-10,"3,660.00"
2018-12-09,"3,555.00"
2018-12-06,"3,477.00"
2018-12-05,"3,637.00"
2018-12-04,"3,650.00"
2018-12-03,"3,563.00"
2018-12-02,"3,584.00"
2018-11-29,"3,686.00"
2018-11-28,"3,529.00"
2018-11-27,"3,565.00"
2018-11-26,"3,617.00"
2018-11-25,"3,602.00"
2018-11-22,"3,566.00"
2018-11-21,"3,531.00"
2018-11-20,"3,566.00"
2018-11-19,"3,755.00"
2018-11-18,"3,655.00"
2018-11-15,"3,567.00"
2018-11-14,"3,524.00"
2018-11-13,"3,337.00"
2018-11-12,"3,154.00"
2018-11-11,"3,391.00"
2018-11-08,"3,390.00"
2018-11-07,"3,497.00"
2018-11-06,"3,230.00"
2018-11-05,"3,241.00"
2018-11-04,"3,208.00"
2018-11-01,"3,116.00"
2018-10-31,"3,260.00"
2018-10-30,"3,350.00"
2018-10-29,"3,350.00"
2018-10-28,"3,186.00"
2018-10-25,"3,158.00"
2018-10-24,"3,311.00"
2018-10-23,"3,310.00"
2018-10-22,"3,330.00"
2018-10-21,"3,263.00"
2018-10-18,"3,205.00"
2018-10-17,"3,212.00"
2018-10-16,"3,266.00"
2018-10-15,"3,142.00"
2018-10-11,"2,921.00"
2018-10-10,"3,056.00"
2018-10-09,"3,090.00"
2018-10-08,"3,088.00"
2018-10-07,"2,941.00"
2018-10-04,"3,096.00"
2018-10-03,"3,039.00"
2018-10-02,"3,124.00"
2018-10-01,"3,065.00"
2018-09-30,"3,065.00"
2018-09-27,"2,971.00"
2018-09-26,"3,149.00"
2018-09-25,"3,134.00"
2018-09-24,"3,026.00"
2018-09-23,"3,026.00"
2018-09-20,"3,000.00"
2018-09-18,"2,951.00"
2018-09-17,"2,902.00"
2018-09-16,"2,940.00"
2018-09-13,"2,833.00"
2018-09-12,"2,903.00"
2018-09-11,"3,054.00"
2018-09-10,"3,054.00"
2018-09-09,"3,054.00"
2018-09-06,"3,003.00"
2018-09-05,"3,270.00"
2018-09-04,"3,525.00"
2018-09-03,"3,590.00"
2018-09-02,"3,697.00"
2018-08-30,"3,640.00"
2018-08-29,"3,664.00"
2018-08-28,"3,700.00"
2018-08-27,"3,931.00"
2018-08-26,"4,007.00"
2018-08-23,"4,051.00"
2018-08-22,"4,051.00"
2018-08-21,"4,051.00"
2018-08-20,"4,038.00"
2018-08-19,"3,970.00"
2018-08-16,"3,937.00"
2018-08-15,"3,900.00"
2018-08-14,"3,900.00"
2018-08-13,"4,100.00"
2018-08-12,"4,080.00"
2018-08-09,"4,090.00"
2018-08-08,"4,185.00"
2018-08-07,"4,140.00"
2018-08-06,"4,108.00"
2018-08-05,"4,080.00"
2018-08-02,"3,900.00"
2018-08-01,"3,870.00"
2018-07-31,"3,556.00"
2018-07-30,"3,845.00"
2018-07-29,"4,177.00"
2018-07-26,"4,341.00"
2018-07-25,"4,430.00"
2018-07-24,"4,495.00"
2018-07-23,"4,470.00"
2018-07-22,"4,530.00"
2018-07-19,"4,440.00"
2018-07-18,"4,374.00"
2018-07-17,"4,352.00"
2018-07-16,"4,250.00"
2018-07-15,"4,297.00"
2018-07-12,"4,077.00"
2018-07-11,"4,078.00"
2018-07-10,"4,245.00"
2018-07-09,"4,429.00"
2018-07-08,"4,428.00"
2018-07-05,"4,372.00"
2018-07-04,"4,264.00"
2018-07-03,"4,177.00"
